city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	Haunted Places Date	wiki_date	Final Date	Parsed Year	Final Year	Year Match	Wiki Year	Wiki Verified	Keep Entry
Ada	United States	"Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids."""	Ada Cemetery	Michigan	MI	-85.50489309999999	42.9621061	-85.4954803	42.960727	2025-02-03		2025-02-03		Unknown	False	Unknown	True	True
Adrian	United States	In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not.	Siena Heights University	Michigan	MI	-84.0175653	41.9057124	-84.03716589999999	41.8975471	1970-01-01		1970-01-01	1970.0	1970.0	True		False	True
Albion	United States	A mysterious lady in white has been spotted in this cemetery.	Riverside Cemetery	Michigan	MI	-84.7530555	42.2368139	-84.7530304	42.243097	2025-01-01	2000-01-01	2000-01-01		2000.0	False	2000	True	True
Allegan	United States	there have been notes of white dogs chasing cars that pull into the drive way. People have seen people hanging form trees and working in fields in old clothing. This motel is where Al Capone did some of his work and had meetings in a secret place in the tunnels. The motel was once painted blue but the next day it was back to yellow. - March 2007 update: was torn down and a tennis court was built over it.	The Yellow Motel	Michigan	MI	-85.8744224	42.5341643	-85.8553031	42.5291989	2007-03-01		2007-03-01	2007.0	2007.0	True	Unknown	True	True
Atlanta	United States	The old cabin located on Camp 8 road is haunted by three young ghosts all sisters died during the flu epidemic in the upstairs bedroom. Reports of crying and screaming have been herd throughout the house. And pictures taken by visitors have shown more than just the three ghosts. Young children, orbs and a demon have also shown up in this film. - March 2008 Update: This is private property. No Trespassing.	Camp 8 Cabin	Michigan	MI	-84.2878159	44.84782939999999	-84.1438927	45.00473059999999	2008-03-01		2008-03-01	2008.0	2008.0	True		False	True
Battle Creek	United States	"Reports of strange occurrences happened only in the East side building, usually in apartments 1-4, and 8. Closet doors would open, even when closed securely and if the closet door was closed, you can sometimes hear the coat hangers (even if immobilized in some way)tap against each other, despite the total lack of breezes or heat updrafts. Other strange happenings included: Heavy footsteps and yelling in vacant upper apartments, the feeling of an unpleasant presence, cold spots (in only one upper apartment), the feeling of being ""touched"" or ""groped"", knocking on doors, dishes being broken and pans thrown (but still intact and unmoved when you check them) and flickering lights. The buildings are about 100 years old, but no one has made any connections of deaths or tragedies to these ""hauntings""."	Court Apartments (formally Webster Apartments)	Michigan	MI	-85.1780687	42.2979251	-85.17971419999999	42.3211522	2025-01-04		2025-01-04		Unknown	False	Unknown	True	True
Bay City	United States	Reports of apparitions and footsteps heard in there and found nobody in the building.	Delta College	Michigan	MI	-83.98600359999999	43.5579516	-83.8888647	43.5944677	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Bay City	United States	The legend of the Bloody Hand. For years there has been talk of the appearance of a bloody hand in the church sacristy and in the church basement as well.	Our Lady of the Visitation Church	Michigan	MI	-83.8945444	43.616625	-83.8888647	43.5944677	2025-01-01	2025-03-26	2025-03-26		1953	False	1953	True	True
Dearborn	United States	The old Rouge Power House blew up in 2001 and several people died that day. If you park on Miller road late at night in front of this building you can hear vicious screams of the people thrown onto the street from the blast.	Ford Rouge Plant	Michigan	MI	-83.233109	42.303109	-83.17631449999999	42.3222599	2001-01-01	1917-01-01	2001-01-01	2001.0	2001.0	True		False	True
Belleville	United States	Go down Denton Rd. at midnight and stop when you see the old road at the bottom of the hill on Denton Rd. (Unknown name of road but it's by the old cemetery) stop turn off all lights and get out of your car wait about 1-10 min. and you will see a glow float down the old road at the bottom of the hill.	94 &amp; Denton Rd.	Michigan	MI	-94.819713	45.66820509999999	-83.4852133	42.2047619	2025-01-10		2025-01-10		2020	False	2020	True	True
Belleville	United States	Denton Rd. - There's an overall bad feeling in this cemetery. If you take a camera (preferably digital) and take pictures, you'll see orbs everywhere. There's a specific large, greenish orb that shows up in photographs quite a bit.	Cemetery off S. Service Drive	Michigan	MI	-83.522807	42.2167069	-83.4852133	42.2047619	2025-01-01	0500-01-26			1862	False	1862	True	True
Belleville	United States	When the street is dark and no one is around you can put your car in park and turn you head-lights on get out of your car and stand in front of the car and you can see another car come towards you and drive right through you and your car and then disappear in seconds.	Robson Rd	Michigan	MI	-83.47570929999999	42.2414323	-83.4852133	42.2047619	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Berville	United States	An abandoned farm house located 2 miles north of Berville where a very ill 12 year old boy had died in his sleep. Drive past this house at around 1 A.M. when it is said the boy died and you may catch a glimpse of lights flickering in the windows. Inside you can hear a faint whispering, footsteps upstairs, and things will move in the house including doors being opened that were closed. enter the boys bedroom at the end of the upstairs hall and experience an overwhelming cold chill and sudden sad emotions at times.	Berville Rd.	Michigan	MI	-82.88573939999999	42.9232364	-82.8829846	42.9083621	2025-02-02		2025-02-02		2015	False	2015	True	True
Big Rapids	United States	Voices are heard often.  Shadows of people walking. The sound of high heels down the hallway in the back.  A woman in dark clothing wearing white nylons and black heels.  Things have been reported to fall for no reason.	Ponderosa	Michigan	MI	-85.3960578	44.2451965	-85.4836557	43.6980782	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Birmingham	United States	House built in 1920. Originally inhabited by Margaret parks who owned Parks Cole Company in downtown Birmingham around the same period. Countless paranormal experiences in the home. For example: lights turning on and off by themselves, curtains opening as if someone where looking out{nobody being home that is). , cold spots , ghostly apparitions both male and female, items vanishing and reappearing ( items of small size ), a strand of bells ringing in early morning hours. This is only to name a few. Also witnessed by many people. Home at a later date became the Michigan metaphysical society.	Adams house	Michigan	MI	-83.205793	42.541766	-83.21131919999999	42.5467012	1920-01-01		1920-01-01	1920.0	1920.0	True		False	True
