x-coordinate,y-coordinate,Similarity_score
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_7384.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_4951.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_2186.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_5643.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_8421.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_10291.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_5213.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_8972.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_9660.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_680.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_1250.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_6595.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_2885.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_4052.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_3797.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_9230.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_1600.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_4402.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_4117.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_8837.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_9725.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_3328.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_1315.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_3282.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_4547.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_9375.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_3778.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_6080.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_395.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_1745.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_6829.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_4814.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_5706.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_8134.json,1.0
aggregate-json/haunted_places_split/haunted_places_8071.json,aggregate-json/haunted_places_split/haunted_places_2539.json,1.0
