city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	description 2	Audio Evidence	Image/Video/Visual Evidence	Haunted Places Date	Haunted Places Witness Count	Time of Day	Apparition Type I	Apparition Type II	Apparition Type III	Event Type	Alcohol Abuse Rate	Amount of daylight	Sunrise Time	Sunset Time	Max Temperature	Min Temperature	Precipitation	comment count	EHP rating	image	urban_or_near	color	element	Dimensions
Ada	United States	"Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids."""	Ada Cemetery	Michigan	MI	-85.50489309999999	42.9621061	-85.4954803	42.960727		True	True	1911-12-07	3	Evening	Ghost	Single Ghost	Unknown	Death, Supernatural	19.8	09:09	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(217, 218, 207)	Unknown	474x316
Addison	United States	A little girl was killed suddenly while waiting for a school bus by a speeding car. Since her death things have happened. The day of her funeral she started knocking on doors of the house she was born in.1 month later as her clothes were to be removed the doors in the home flew open with no reason. Cold spots now can be felt & knocking at the door is still present to this day in the home. Also when there swings in the yard you could see them swing real high as if someone was swinging on them. lights like to go on & off in this home & she does move things to let someone know she is there. The cemetery where this child lies has had alot of activity also. When you visit her grave she has a twirly that will start going around & round with no reason or wind blowing to let you know she is present. Some have said she has been spotted walking the cemetery very restless as if she doesn't realize she has passed on.	North Adams Rd.	Michigan	MI	-84.3818434	41.9714248	-84.3471684	41.986434		True	True	2025-01-01	1	Evening	Ghost	Single Ghost	Unknown	Murder, Death	19.8	09:12	Unknown	Unknown	unknown	unknown	unknown	Unknown	Unknown	Unknown	False	RGB(49, 49, 57)	Unknown	474x354
Adrian	United States	If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.	Ghost Trestle	Michigan	MI	-84.03565619999999	41.904538	-84.03716589999999	41.8975471		True	True	1995-03-07	1	Evening	Ghost	Several Ghosts	Male Ghost, Female Ghost	Murder, Death	19.8	11:31	7:02	6:33	15.1	0.1	22.1	Unknown	Unknown	Unknown	True	RGB(223, 223, 223)	Unknown	474x474
Adrian	United States	In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not.	Siena Heights University	Michigan	MI	-84.0175653	41.9057124	-84.03716589999999	41.8975471	 41.905915°, -84.017592°  1247 E Siena Heights Drive, Adrian, Michigan Founded by the Adrian Dominican Sisters in 1919, Siena Heights University is a Roman Catholic university located in Adrian, Michigan. The 55-acre campus is rumored to be haunted by the spirits of two men who were killed during the school's construction, as well as the former Adrian Dominican Sisters, many of whom are buried in a small cemetery located nearby. Students attending Siena Heights University frequently report witnessing apparitions, especially in the older buildings on campus. Others report experiencing a variety of paranormal activity, such as cold spots, doors opening and closing by themselves, and pictures being knocked from walls without warning. In other areas, students have also reported witnessing a pair of glowing red eyes which defy explanation.	True	True	1970-03-07	3	Evening	Orb, Ghost	Several Ghosts	Unknown	Murder, Death	19.8	11:31	7:01	6:33	9.1	-3.7	0.0	5	84.6	False	True	RGB(204, 219, 235)	Unknown	474x266
Albion	United States	"Kappa Delta Sorority - The Kappa Delta Sorority is haunted by an entity simply known as 'P'. It is said she was a sister there who died in a car accident. Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement. At one time a sister called out to ""P"" and received a ""hello"" in reply."	Albion College	Michigan	MI	-84.7451775	42.2440064	-84.7530304	42.243097	" 42.244006°, -84.745177°  611 E. Porter Street, Albion, Michigan Founded in 1835 by the United Methodist Church, Albion College is a private liberal arts school located in Albion, Michigan. One common ghost story told by students attending the college claims the Delta Kappa Sorority is haunted by the spirit of a former student, nicknamed ""P,"" who was killed in a car accident. Members of the Delta Kappa sorority often report experiencing strange paranormal phenomena such as doors opening and closing by themselves, or hearing disembodied voices and laughter. Others have reported witnessing objects being moved by an unseen entity, or experiencing feelings of being watched."	True	True	1835-03-07	1	Unknown	Ghost	Single Ghost	Unknown	Supernatural Phenomenon	19.8	11:30	6:33	6:03	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(105, 108, 49)	car	474x315
Albion	United States	A mysterious lady in white has been spotted in this cemetery.	Riverside Cemetery	Michigan	MI	-84.7530555	42.2368139	-84.7530304	42.243097	" 42.232928°, -84.752458°  1301 S. Superior Street, Albion, Michigan Established in 1837 as Albion Burying Ground, Riverside Cemetery in Albion, Michigan is said to be haunted by the spirit of a woman wearing a long white gown, known simply as ""The Woman In White."" Those visiting the old cemetery at night have reported witnessing the woman's apparition among the old headstones, while others report experiencing sudden cold spots, or feeling the presence of an unseen entity nearby. One popular folklore tale told by Albion residents claims that a cursed chair within the cemetery brings bad luck, and sometimes even death to those who sit in it, however this story is considered by most to be nothing more than an urban legend."	True	True	1837-03-07	1	Evening	Ghost	Single Ghost	Female Ghost	Death, Supernatural	19.8	11:31	6:32	6:04	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(39, 51, 18)	baseball bat	474x286
Algoma Township	United States	On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge...	Hell's Bridge	Michigan	MI			-85.62292959999999	43.1492928		True	True	1800-03-07	1	Morning	Ghost	Several Ghosts	Unknown	Murder, Supernatural	19.8	11:30	6:36	6:07	unknown	unknown	unknown	Unknown	Unknown	Unknown	unknown	RGB(203, 199, 201)	Unknown	474x266
Algonac	United States	Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com	Morrow Road	Michigan	MI	-82.5762902	42.6529969	-82.531018	42.6183675	" 42.652980°, -82.576305°  Morrow Road, Algonac, Michigan Morrow Road in Algonac, Michigan was first used as a cow path during the 1800's, and is said to be haunted by the spirit of a woman who allegedly froze to death while searching the woods for her missing son. Although sightings of the woman's ghost date back to the late 1800's, many different stories have been told over the years which attempt to explain the reason for her presence. In one version of the story her son is kidnapped or goes missing, and the woman dies while searching for him. In another version, the woman is said to have given birth out of wedlock and attempts to hide her transgressions by abandoning the newborn baby near a small creek on the side of the road. She later returns out of guilt only to discover that the child is nowhere to be found, and dies of hypothermia after searching desperately all night to find him. One urban legend that became popular during the 1950's even claims that a monster called ""The Morrow Road Monster"" was responsible for the child's disappearance, and that the beast continues to live in the woods devouring children who dare to stay out past dark. Over the years motorists on Morrow Road have reported encountering the spirit of a woman wearing a blue nightgown, as well as hearing the disembodied sounds of a child crying, and seeing mysterious glowing orbs in the woods nearby."	True	True	1800-03-07	1	Evening	Orb, Ghost	Several Ghosts	Female Ghost	Murder, Death	19.8	11:31	6:24	5:55	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(202, 221, 230)	Unknown	474x366
Allegan	United States	"People report hearing footsteps, and doors slamming where there are no doors, a small child's voice say ""Mama?"""	Elks Lodge	Michigan	MI	-85.84159919999999	42.520552	-85.8553031	42.5291989	Casper , Wyoming Constructed in 1922, the Elks Lodge in Casper , Wyoming is rumored to be haunted by the spirit of a man who is seen smoking cigars in the basement. Although his identity is unable to be confirmed many believe he is the ghost of one of the building's former owners who passed away, and he is often accompanied by the scent of cigar smoke. Many patrons over the years have also reported encountering the spirit of a woman in a white lace dress, especially in the ballroom. Others claim to experience mysterious paranormal phenomena, such as lights flickering, feelings of being watched, furniture and other objects being moved by an unseen entity, and the unexplained sounds of disembodied voices and music. Additional research for this allegedly haunted location is currently in progress.	True	True	1922-03-07	1	Unknown	Ghost	Several Ghosts	Male Ghost, Female Ghost	Supernatural Phenomenon	19.8	11:29	7:10	6:39	unknown	unknown	unknown	Unknown	Unknown	Unknown	True	RGB(39, 22, 6)	Unknown	474x371
Allegan	United States	Various ghostly activities. News coverage about these hauntings every year around Halloween time, on the local channels.	The Grill House and the Rock Bottom Bar	Michigan	MI	-85.8575642	42.4977621	-85.8553031	42.5291989		True	True	2021-11-07	0	Unknown	Unknown	Unknown	Unknown	Unknown	19.8	10:04	7:24	5:28	16.0	5.5	0.0	Unknown	Unknown	Unknown	True	RGB(195, 213, 239)	Unknown	474x355
