City,Metro Area,State,Year,Labor Force,Employment,Unemployment,Unemployment Rate
Abilene,TX Metropolitan Statistical Area,Texas,1990,68529,64434,4095,6.0
Abilene,TX Metropolitan Statistical Area,Texas,1991,69357,65687,3670,5.3
Abilene,TX Metropolitan Statistical Area,Texas,1992,71039,67098,3941,5.5
Abilene,TX Metropolitan Statistical Area,Texas,1993,72570,68666,3904,5.4
Abilene,TX Metropolitan Statistical Area,Texas,1994,73925,70249,3676,5.0
Abilene,TX Metropolitan Statistical Area,Texas,1995,76195,72475,3720,4.9
Abilene,TX Metropolitan Statistical Area,Texas,1996,77113,73499,3614,4.7
Abilene,TX Metropolitan Statistical Area,Texas,1997,76544,73539,3005,3.9
Abilene,TX Metropolitan Statistical Area,Texas,1998,76990,74147,2843,3.7
Abilene,TX Metropolitan Statistical Area,Texas,1999,75954,73060,2894,3.8
Abilene,TX Metropolitan Statistical Area,Texas,2000,75426,72256,3170,4.2
Abilene,TX Metropolitan Statistical Area,Texas,2001,75415,72046,3369,4.5
Abilene,TX Metropolitan Statistical Area,Texas,2002,77658,73725,3933,5.1
Abilene,TX Metropolitan Statistical Area,Texas,2003,79563,75313,4250,5.3
Abilene,TX Metropolitan Statistical Area,Texas,2004,79605,75846,3759,4.7
Abilene,TX Metropolitan Statistical Area,Texas,2005,80414,76982,3432,4.3
Abilene,TX Metropolitan Statistical Area,Texas,2006,81482,78176,3306,4.1
Abilene,TX Metropolitan Statistical Area,Texas,2007,80031,77141,2890,3.6
Abilene,TX Metropolitan Statistical Area,Texas,2008,82085,78946,3139,3.8
Abilene,TX Metropolitan Statistical Area,Texas,2009,82921,78116,4805,5.8
Abilene,TX Metropolitan Statistical Area,Texas,2010,76549,71187,5362,7.0
Abilene,TX Metropolitan Statistical Area,Texas,2011,76772,71421,5351,7.0
Abilene,TX Metropolitan Statistical Area,Texas,2012,76141,71742,4399,5.8
Abilene,TX Metropolitan Statistical Area,Texas,2013,76273,72106,4167,5.5
Abilene,TX Metropolitan Statistical Area,Texas,2014,75936,72604,3332,4.4
Abilene,TX Metropolitan Statistical Area,Texas,2015,74779,71876,2903,3.9
Abilene,TX Metropolitan Statistical Area,Texas,2016,74757,71810,2947,3.9
Abilene,TX Metropolitan Statistical Area,Texas,2017,75207,72421,2786,3.7
Abilene,TX Metropolitan Statistical Area,Texas,2018,76368,73833,2535,3.3
Abilene,TX Metropolitan Statistical Area,Texas,2019,78013,75684,2329,3.0
Abilene,TX Metropolitan Statistical Area,Texas,2020,77481,73155,4326,5.6
Abilene,TX Metropolitan Statistical Area,Texas,2021,79455,75841,3614,4.5
Abilene,TX Metropolitan Statistical Area,Texas,2022,81014,78201,2813,3.5
Abilene,TX Metropolitan Statistical Area,Texas,2023,82605,79749,2856,3.5
Akron,OH Metropolitan Statistical Area,Ohio,1990,334818,317183,17635,5.3
